domain,method,uri,name,action,middleware
,PATCH,admin/pos/carts/{posCart}/items/{posCartItem},admin.pos.items.update,App\Http\Controllers\Admin\PosController@updateQuantity,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,DELETE,admin/pos/carts/{posCart}/items/{posCartItem}/discount,admin.pos.items.discount.destroy,App\Http\Controllers\Admin\PosController@clearItemDiscount,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,PATCH,admin/pos/carts/{posCart}/items/{posCartItem}/discount,admin.pos.items.discount.update,App\Http\Controllers\Admin\PosController@updateItemDiscount,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage | App\Http\Middleware\PermissionMiddleware:pos.discount
,POST,admin/pos/carts/{posCart}/products/{product},admin.pos.catalog.add,App\Http\Controllers\Admin\PosController@addCatalogItem,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,POST,admin/pos/carts/{posCart}/resume,admin.pos.resume,App\Http\Controllers\Admin\PosController@resume,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,POST,admin/pos/carts/{posCart}/scan,admin.pos.scan,App\Http\Controllers\Admin\PosController@scan,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,GET|HEAD,admin/pos/lookups/customers,admin.pos.lookups.customers,App\Http\Controllers\Admin\PosController@customerLookup,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,GET|HEAD,admin/pos/lookups/products,admin.pos.lookups.products,App\Http\Controllers\Admin\PosController@productLookup,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,GET|HEAD,admin/pos/sales/{order},admin.pos.sales.show,App\Http\Controllers\Admin\PosController@sale,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,POST,admin/pos/sales/{order}/return,admin.pos.sales.return,App\Http\Controllers\Admin\PosController@processReturn,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage | App\Http\Middleware\PermissionMiddleware:pos.return
,GET|HEAD,admin/pos/shifts,admin.pos.shifts.index,App\Http\Controllers\Admin\PosController@shifts,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.shifts.review
,POST,admin/pos/shifts/open,admin.pos.shifts.open,App\Http\Controllers\Admin\PosController@openShift,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,POST,admin/pos/shifts/{posCashShift}/close,admin.pos.shifts.close,App\Http\Controllers\Admin\PosController@closeShift,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
,GET|HEAD,admin/products,admin.products.index,App\Http\Controllers\Admin\ProductController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,POST,admin/products,admin.products.store,App\Http\Controllers\Admin\ProductController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,GET|HEAD,admin/products/create,admin.products.create,App\Http\Controllers\Admin\ProductController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,DELETE,admin/products/{product},admin.products.destroy,App\Http\Controllers\Admin\ProductController@destroy,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,PUT,admin/products/{product},admin.products.update,App\Http\Controllers\Admin\ProductController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,GET|HEAD,admin/products/{product}/edit,admin.products.edit,App\Http\Controllers\Admin\ProductController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
,GET|HEAD,admin/promotions,admin.promotions.index,App\Http\Controllers\Admin\PromotionController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,POST,admin/promotions,admin.promotions.store,App\Http\Controllers\Admin\PromotionController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,GET|HEAD,admin/promotions/create,admin.promotions.create,App\Http\Controllers\Admin\PromotionController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,DELETE,admin/promotions/{promotion},admin.promotions.destroy,App\Http\Controllers\Admin\PromotionController@destroy,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,PUT,admin/promotions/{promotion},admin.promotions.update,App\Http\Controllers\Admin\PromotionController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,GET|HEAD,admin/promotions/{promotion}/edit,admin.promotions.edit,App\Http\Controllers\Admin\PromotionController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
,GET|HEAD,admin/purchases,admin.purchases.index,App\Http\Controllers\Admin\PurchaseController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,POST,admin/purchases,admin.purchases.store,App\Http\Controllers\Admin\PurchaseController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/purchases/create,admin.purchases.create,App\Http\Controllers\Admin\PurchaseController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/purchases/{purchase},admin.purchases.show,App\Http\Controllers\Admin\PurchaseController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,POST,admin/purchases/{purchase}/receive,admin.purchases.receive,App\Http\Controllers\Admin\PurchaseController@receive,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,POST,admin/purchases/{purchase}/receive-verified,admin.purchases.receive-verified,App\Http\Controllers\Admin\PurchaseController@receiveVerified,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/purchases/{purchase}/receiving,admin.purchases.receiving,App\Http\Controllers\Admin\PurchaseController@receiving,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,POST,admin/purchases/{purchase}/receiving/items/{purchaseItem}/undo,admin.purchases.receiving.undo,App\Http\Controllers\Admin\PurchaseController@undoReceiving,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,POST,admin/purchases/{purchase}/receiving/scan,admin.purchases.receiving.scan,App\Http\Controllers\Admin\PurchaseController@scanReceiving,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/returns,admin.returns.index,App\Http\Controllers\Admin\ReturnRequestController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
,GET|HEAD,admin/returns/{returnRequest},admin.returns.show,App\Http\Controllers\Admin\ReturnRequestController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
,PATCH,admin/returns/{returnRequest}/approve,admin.returns.approve,App\Http\Controllers\Admin\ReturnRequestController@approve,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.manage
,PATCH,admin/returns/{returnRequest}/complete,admin.returns.complete,App\Http\Controllers\Admin\ReturnRequestController@complete,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.manage
,PATCH,admin/returns/{returnRequest}/receive,admin.returns.receive,App\Http\Controllers\Admin\ReturnRequestController@receive,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.manage
,PATCH,admin/returns/{returnRequest}/reject,admin.returns.reject,App\Http\Controllers\Admin\ReturnRequestController@reject,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.manage
,GET|HEAD,admin/reviews,admin.reviews.index,App\Http\Controllers\Admin\ProductReviewController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:reviews.manage
,PATCH,admin/reviews/{review}/moderate,admin.reviews.moderate,App\Http\Controllers\Admin\ProductReviewController@moderate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:reviews.manage
,GET|HEAD,admin/settings/deploy-center,admin.settings.deploy-center,App\Http\Controllers\Admin\DeployCenterController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:deploy.manage
,POST,admin/settings/deploy-center/deploy,admin.settings.deploy-center.deploy,App\Http\Controllers\Admin\DeployCenterController@deploy,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:deploy.manage
,POST,admin/settings/deploy-center/rollback,admin.settings.deploy-center.rollback,App\Http\Controllers\Admin\DeployCenterController@rollback,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:deploy.manage
,GET|HEAD,admin/settings/notifications,admin.settings.notifications,App\Http\Controllers\Admin\NotificationCenterController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,PUT,admin/settings/notifications,admin.settings.notifications.update,App\Http\Controllers\Admin\NotificationCenterController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/settings/notifications/automation,admin.settings.notifications.automation,App\Http\Controllers\Admin\NotificationCenterController@automation,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/notifications/automation-rules,admin.settings.notifications.automation-rules.save,App\Http\Controllers\Admin\NotificationCenterController@saveAutomationRule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/settings/notifications/diagnostics,admin.settings.notifications.diagnostics,App\Http\Controllers\Admin\NotificationCenterController@diagnostics,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/settings/notifications/logs,admin.settings.notifications.logs,App\Http\Controllers\Admin\NotificationCenterController@logs,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/notifications/logs/{log}/retry,admin.settings.notifications.retry-log,App\Http\Controllers\Admin\NotificationCenterController@retryLog,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/notifications/logs/{log}/run-escalation,admin.settings.notifications.run-escalation,App\Http\Controllers\Admin\NotificationCenterController@runEscalation,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/notifications/queue/retry-failed-job,admin.settings.notifications.retry-failed-job,App\Http\Controllers\Admin\NotificationCenterController@retryFailedQueueJob,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/notifications/run-scanner,admin.settings.notifications.run-scanner,App\Http\Controllers\Admin\NotificationCenterController@runScanner,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/settings/notifications/templates,admin.settings.notifications.templates,App\Http\Controllers\Admin\NotificationCenterController@templates,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/notifications/templates,admin.settings.notifications.templates.save,App\Http\Controllers\Admin\NotificationCenterController@saveTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/notifications/test-send,admin.settings.notifications.test-send,App\Http\Controllers\Admin\NotificationCenterController@sendTest,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/notifications/whatsapp-logs/{log}/retry,admin.settings.notifications.retry-whatsapp-log,App\Http\Controllers\Admin\NotificationCenterController@retryWhatsAppLog,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/settings/payments,admin.settings.payments,App\Http\Controllers\Admin\PaymentSettingsController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:payments.settings
,PUT,admin/settings/payments,admin.settings.payments.update,App\Http\Controllers\Admin\PaymentSettingsController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:payments.settings
,DELETE,admin/settings/shipping/cities/{shippingZoneCity},admin.settings.shipping.cities.destroy,App\Http\Controllers\Admin\ShippingSettingsController@destroyCity,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/settings/shipping/methods,admin.settings.shipping.methods,App\Http\Controllers\Admin\ShippingSettingsController@methods,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,PUT,admin/settings/shipping/methods/{shippingMethod},admin.settings.shipping.methods.update,App\Http\Controllers\Admin\ShippingSettingsController@updateMethod,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/settings/shipping/rates,admin.settings.shipping.rates,App\Http\Controllers\Admin\ShippingSettingsController@rates,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/shipping/rates,admin.settings.shipping.rates.upsert,App\Http\Controllers\Admin\ShippingSettingsController@upsertRate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/settings/shipping/zones,admin.settings.shipping.zones,App\Http\Controllers\Admin\ShippingSettingsController@zones,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/shipping/zones,admin.settings.shipping.zones.store,App\Http\Controllers\Admin\ShippingSettingsController@storeZone,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,PUT,admin/settings/shipping/zones/{shippingZone},admin.settings.shipping.zones.update,App\Http\Controllers\Admin\ShippingSettingsController@updateZone,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/shipping/zones/{shippingZone}/cities,admin.settings.shipping.cities.store,App\Http\Controllers\Admin\ShippingSettingsController@storeCity,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/settings/whatsapp,admin.settings.whatsapp,App\Http\Controllers\Admin\WhatsAppSettingsController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,PUT,admin/settings/whatsapp,admin.settings.whatsapp.update,App\Http\Controllers\Admin\WhatsAppSettingsController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/whatsapp/logs/{log}/retry,admin.settings.whatsapp.retry,App\Http\Controllers\Admin\WhatsAppSettingsController@retry,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/whatsapp/orders/{order}/resend,admin.settings.whatsapp.order-resend,App\Http\Controllers\Admin\WhatsAppSettingsController@resendOrderEvent,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/whatsapp/send-order-event,admin.settings.whatsapp.send-order-event,App\Http\Controllers\Admin\WhatsAppSettingsController@sendOrderEvent,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,POST,admin/settings/whatsapp/test-send,admin.settings.whatsapp.test-send,App\Http\Controllers\Admin\WhatsAppSettingsController@testSend,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
,GET|HEAD,admin/suppliers,admin.suppliers.index,App\Http\Controllers\Admin\SupplierController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,POST,admin/suppliers,admin.suppliers.store,App\Http\Controllers\Admin\SupplierController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/suppliers/create,admin.suppliers.create,App\Http\Controllers\Admin\SupplierController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,DELETE,admin/suppliers/{supplier},admin.suppliers.destroy,App\Http\Controllers\Admin\SupplierController@destroy,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,PUT,admin/suppliers/{supplier},admin.suppliers.update,App\Http\Controllers\Admin\SupplierController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/suppliers/{supplier}/edit,admin.suppliers.edit,App\Http\Controllers\Admin\SupplierController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
,GET|HEAD,admin/support,admin.support.index,App\Http\Controllers\Admin\SupportCaseController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.view
,POST,admin/support,admin.support.store,App\Http\Controllers\Admin\SupportCaseController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
,GET|HEAD,admin/support/create,admin.support.create,App\Http\Controllers\Admin\SupportCaseController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
,GET|HEAD,admin/support/settings,admin.support.settings,App\Http\Controllers\Admin\SupportCaseController@settings,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
,PUT,admin/support/settings/sla,admin.support.settings.sla,App\Http\Controllers\Admin\SupportCaseController@updateSla,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
,POST,admin/support/templates,admin.support.templates.store,App\Http\Controllers\Admin\SupportCaseController@storeTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
,PUT,admin/support/templates/{supportReplyTemplate},admin.support.templates.update,App\Http\Controllers\Admin\SupportCaseController@updateTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
,PATCH,admin/support/templates/{supportReplyTemplate}/toggle,admin.support.templates.toggle,App\Http\Controllers\Admin\SupportCaseController@toggleTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
,GET|HEAD,admin/support/{supportCase},admin.support.show,App\Http\Controllers\Admin\SupportCaseController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.view
,PATCH,admin/support/{supportCase},admin.support.update,App\Http\Controllers\Admin\SupportCaseController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
,POST,admin/support/{supportCase}/reply,admin.support.reply,App\Http\Controllers\Admin\SupportCaseController@reply,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
,GET|HEAD,admin/workforce/attendance,admin.workforce.attendance.index,App\Http\Controllers\Admin\AttendanceController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
,GET|HEAD,admin/workforce/corrections,admin.workforce.corrections.index,App\Http\Controllers\Admin\AttendanceCorrectionController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
,PATCH,admin/workforce/corrections/{employeeAttendanceCorrection}/approve,admin.workforce.corrections.approve,App\Http\Controllers\Admin\AttendanceCorrectionController@approve,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,PATCH,admin/workforce/corrections/{employeeAttendanceCorrection}/reject,admin.workforce.corrections.reject,App\Http\Controllers\Admin\AttendanceCorrectionController@reject,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/employees,admin.workforce.employees.index,App\Http\Controllers\Admin\EmployeeController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
,POST,admin/workforce/employees,admin.workforce.employees.store,App\Http\Controllers\Admin\EmployeeController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/employees/create,admin.workforce.employees.create,App\Http\Controllers\Admin\EmployeeController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,PUT,admin/workforce/employees/{employeeProfile},admin.workforce.employees.update,App\Http\Controllers\Admin\EmployeeController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/employees/{employeeProfile}/edit,admin.workforce.employees.edit,App\Http\Controllers\Admin\EmployeeController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/leave,admin.workforce.leave.index,App\Http\Controllers\Admin\LeaveController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
,GET|HEAD,admin/workforce/leave-adjustment,admin.workforce.leave.adjustment,App\Http\Controllers\Admin\LeaveController@adjustmentForm,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,POST,admin/workforce/leave-adjustment,admin.workforce.leave.adjust,App\Http\Controllers\Admin\LeaveController@adjustBalance,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/leave-types,admin.workforce.leave-types.index,App\Http\Controllers\Admin\LeaveTypeController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
,POST,admin/workforce/leave-types,admin.workforce.leave-types.store,App\Http\Controllers\Admin\LeaveTypeController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/leave-types/create,admin.workforce.leave-types.create,App\Http\Controllers\Admin\LeaveTypeController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,PUT,admin/workforce/leave-types/{employeeLeaveType},admin.workforce.leave-types.update,App\Http\Controllers\Admin\LeaveTypeController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/leave-types/{employeeLeaveType}/edit,admin.workforce.leave-types.edit,App\Http\Controllers\Admin\LeaveTypeController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,PATCH,admin/workforce/leave/{employeeLeaveRequest}/approve,admin.workforce.leave.approve,App\Http\Controllers\Admin\LeaveController@approve,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,PATCH,admin/workforce/leave/{employeeLeaveRequest}/reject,admin.workforce.leave.reject,App\Http\Controllers\Admin\LeaveController@reject,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/my-leave,admin.workforce.my-leave,App\Http\Controllers\Admin\LeaveController@myLeave,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,POST,admin/workforce/my-leave/request,admin.workforce.leave.request,App\Http\Controllers\Admin\LeaveController@requestLeave,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
